Video ID,Title,Channel Title,Published At,Description,Tags,Channel ID,View Count,Like Count,Dislike Count,Comment Count,Region Restriction,Relevant Topics,Live Streaming Details
XwIY-S81MEA,"Fivela da Lacoste - AgroPlay, Luan Pereira, MC PH e MC Ryan SP (Clipe Oficial)",AgroPlay,2024-05-10T15:00:07Z,Ouça Agora: https://agroplaybr.ffm.to/fiveladalacoste Siga nosso Instagram: https://www.instagram.com/agroplaymusic/ AgroPlay ...,[],UChi4u_gJtHeem27UULYwk0Q,55204,6899,0,3278,{},[],{}
vjGzas18iQU,Musica para trabajar activo y alegre mix - La Mejor Musica Deep House - Deep House Mix 2024 #127,Legend Music - Música Electrónica,2024-05-10T03:14:55Z,Musica para trabajar activo y alegre mix - La Mejor Musica Deep House - Deep House Mix 2024 #127 Musica para trabajar activo ...,[],UCNnQqoYFCqLID3GAMkGtS6A,53181,219,0,3,{},[],{}
YrQLmElRT-E,Tribo da Periferia - Imprevisível (Official Music Video),Tribo da Periferia,2018-04-05T18:18:26Z,Imprevisível - Tribo da Periferia Inscreva-se no canal - http://abre.ai/canaltribo Tribo da Periferia: Instagram: ...,[],UCe5pPUSFEajlij-LrxUl19A,600699357,4056965,0,133939,{},[],{}
Enz1ZbzuM5Q,Mr. Bow - Hololololo (Official Music Video) ft. Makhadzi,MrBowVEVO,2023-06-14T08:00:07Z,"Mr. Bow's official music video for his latest single ""Hololololo"" featuring the amazing Makhadzi Subscribe to Mr Bow's channel ...",[],UCrzEeK0jS8ihhhDjEnvJPtw,10622043,50700,0,1942,{},[],{}
3qS2i2uSOW8,"Segunda parte da música do Pedro, Pedro",MC Nau,2024-04-28T23:02:40Z,,[],UCfR3AbME-4DOda_N8Ll4O7w,588481,32235,0,493,{},[],{}
3wxyN3z9PL4,Starship - Nothing&#39;s Gonna Stop Us Now (Official Music Video) [HD],RHINO,2014-05-09T07:00:02Z,"You're watching the official music video remastered in HD for Starship - ""Nothing's Gonna Stop Us Now"" from the 1987 album 'No ...",[],UCWEtnEiVwUy7mwFeshyAWLA,470555433,1996646,0,51555,{},[],{}
fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),Bruno Mars,2011-04-15T22:08:07Z,"The official music video for Bruno Mars' ""The Lazy Song"" from the album 'Doo-Wops and Hooligans''. Stream: ...",[],UCoUM-UJ7rirJYP8CQ0EIaHA,2750569564,14833114,0,557518,{},[],{}
8_oE-iQeFeE,Amor de Verdade - MC Kekel e MC Rita (KondZilla) | Official Music Video,Canal KondZilla,2018-03-31T18:00:00Z,"Escute agora MC Kekel e MC Rita com ""Amor de Verdade"". Uma parceria de sucesso! MC Kekel é o grande nome do funk ...",[],UCffDXn7ycAzwL2LDlbyWOTw,759070115,6983253,0,288717,{},[],{}
pWjmpSD-ph0,Música Relaxante - Acalmar a Mente e Relaxar,Cassio Toledo,2016-01-10T23:30:18Z,"Música relaxante para acalmar a mente e relaxar profundamente. Vídeo HD com cachoeira em câmera lenta, floresta e lago, com ...",[],UCK8QPDq9zKnfSEWQImX5Ebg,127315603,1281974,0,62304,{},[],{}
k85mRPqvMbE,Crazy Frog - Axel F (Official Video),Crazy Frog,2009-06-17T04:30:53Z,Stream/Buy@crazyfrogMusic: https://bit.ly/CrazyFrogMusic Subscribe to@crazyfrogYT Channel: https://bit.ly/CrazyFrogYoutube ...,[],UC4XR0EZ0oHwSV2XhhShzX5A,4527573494,18121745,0,699718,{},[],{}
GwqXanhE5hw,"Musica para trabajar activo y alegre - Música Alegre para en Tiendas, Cafés| Deep House Mix 2024 #30",Legend Music - Música Electrónica,2024-05-07T03:37:45Z,"Musica para trabajar activo y alegre - Música Alegre para en Tiendas, Cafés| Deep House Mix 2024 #30 Musica para trabajar ...",[],UCNnQqoYFCqLID3GAMkGtS6A,102171,1183,0,7,{},[],{}
_o-o_2n4SdI,Adela Borș - Sofia,GurinelTV,2017-11-21T09:54:51Z,gurineltv #AdelaBors #Sofia Studioul artistic Rodica Rosioru Coregrafie - Smile Dance Instagram Adela.,[],UCEcjZ5Vz6ygmDbtmce6N_zA,401244419,1695142,0,0,{},[],{}
WkYqQctOi9g,Marília Mendonça - Troca de Calçada,Marília Mendonça,2021-01-29T14:00:12Z,"Troca de Calçada Ouça nos aplicativos de música: https://somlivre.lnk.to/Troca_de_Calcada Confira o álbum completo ""Decretos ...",[],UCwfEOn0O1DWcyTgzVVu28ig,299195954,1836926,0,37333,{},[],{}
59Q_lhgGANc,Jain - Makeba (Official Video),JAINVEVO,2016-11-30T08:00:00Z,"Official Video for ""The Fool"" by Jain - https://JAIN.lnk.to/THEFOOLMERCH “The fool, this tightrope walker who walks towards his ...",[],UClH4iEV8a-0x2K889h7XWvg,288785575,3023174,0,56561,{},[],{}
67n-hrCYiSI,Now United - All Day (Official Music Video),NOW UNITED,2018-11-05T22:28:19Z,"Now United presents: All Day Filmed in Seal Beach, California Choreography by Willdabeast Follow NOW UNITED for more ...",[],UColnnUYyz7CWjhzpF1kASnw,149271552,2595991,0,143748,{},[],{}
11e4sW-Q4Ns,L2K - Jerusalema  Chorégraphie Officiel.,L2K,2020-07-31T00:29:32Z,Découvrez mon dernier single : https://www.youtube.com/watch?v=bpYh8GSmc18 Médicament | L2K Liens vers les ...,[],UCIMbaLmPW22pxXZASAccFfg,372311658,1447666,0,28633,{},[],{}
jyJ-zJr-hMg,"Louvores de Adoração 2024 - As Melhores Músicas Gospel Mais Tocadas - Top Gospel, Hinos Evangélicos",TOP MÚSICAS GOSPEL,2024-05-07T01:05:55Z,"Louvores de Adoração 2024 - As Melhores Músicas Gospel Mais Tocadas - Top Gospel, Hinos Evangélicos ...",[],UCMnwr3b07QGBOB4b0dNw-EQ,159435,1532,0,29,{},[],{}
_zquH-0Vjc4,canta comigo??? 💙 #anacastela #nossoquadro #cantora #dueto,⚡️RAIO⚡️,2023-03-17T21:44:19Z,,[],UCZDmgoQowb_9tFvke36tmzg,6304852,299909,0,2605,{},[],{}
