Video ID,Title,Channel Title,Published At,Description,Tags,Channel ID,View Count,Like Count,Dislike Count,Comment Count,Region Restriction,Relevant Topics,Live Streaming Details
6l9wPgJbsbc,Vida de Empreguete- Empreguetes (Aúdio Oficial),Músicas Players,2020-04-02T00:15:26Z,"LEIA A DESCRIÇÃO○○○○○○○○○○○○ MÚSICA DA NOVELA CHEIA DE CHARME, DAS EMPREGUETES ...",[],UCkWD7pzCweLUPhgGKannMbA,1487678,26595,0,728,{},[],{}
cNGjD0VG4R8,Ed Sheeran - Perfect,LatinHype,2022-09-03T13:21:17Z,Ed Sheeran - Perfect » Descargar: » Apoyo Ed Sheeran: http://www.facebook.com/EdSheeranMusic http://twitter.com/edsheeran ...,[],UC-AlofdKECUdhXrbJQZ6iEg,48210772,507951,0,10182,{},[],{}
XXYlFuWEuKI,The Weeknd - Save Your Tears (Official Music Video),TheWeekndVEVO,2021-01-05T17:00:12Z,"Official music video by The Weeknd performing ""Save Your Tears""– 'After Hours' available everywhere now: ...",[],UCF_fDSgPpBQuh1MsUTgIARQ,1546761759,9204860,0,300964,{},[],{}
aGCdLKXNF3w,Tears For Fears - Everybody Wants To Rule The World (Official Music Video),TearsForFearsVEVO,2013-08-09T16:12:40Z,REMASTERED IN HD! Enjoyed this? Watch the Official Archive Footage Music Video too: ...,[],UCUeZg9WbtcvcfMzEbxIA5Cw,454311934,4406676,0,194993,{},[],{}
I8KkJ1EiLUY,"Canta Comigo - Tá Ok (Dueto - Trend TikTok Brasil) “então toma, toma, toma” #shorts",Bernardo Gomes,2023-06-08T20:13:00Z,Encontra-me nas outras redes! Não tenho autorais no Spotify (ainda) INSTAGRAM: http://www.instagram.com/itsgomesofc ...,[],UCI3Q3avhQ8Q685yCSQS7I_g,6316661,177066,0,3853,{},[],{}
PEM0Vs8jf1w,JVKE - golden hour (official music video),JVKE,2022-10-12T14:00:11Z,"It was just 2 lovers, Sittin in the car Listening to Blonde Fallin for eachother pink & orange skies, Feelin super childish No donald ...",[],UCSOfUqPoqpp5aWDDnAyv94g,192884444,2983123,0,72329,{},[],{}
H5v3kku4y6Q,Harry Styles - As It Was (Official Video),HarryStylesVEVO,2022-03-31T23:00:10Z,"Official Video for ""As It Was"" by Harry Styles. Harry's new album ""Harry's House"" out now. Listen here: ...",[],UCbOCbp5gXL8jigIBZLqMPrw,724653740,8018359,0,201197,{},[],{}
liIEJu-DrCI,Canção de Cortar o Cabelo - Música Infantil por Bella Lisa Show,Bella e Lucca Show,2023-06-20T22:00:22Z,Bella e Lucca vai Cortar o Cabelo - Música Infantil por Bella Lisa Show Nesse vídeo Bella e Lucca vão cortar o cabelo e se ...,[],UCrxIJOB_71D_xh5xf-KCo6g,24002998,0,0,0,{},[],{}
7QU1nvuxaMA,Audioslave - Like a Stone (Official Video),AudioslaveVEVO,2009-10-25T07:20:03Z,Official Video for ”Like A Stone” by Audioslave Listen to Audioslave: https://Audioslave.lnk.to/listenYD Subscribe to the official ...,[],UCHc7ICbMq7vwaToJQeEtnrA,1235977978,4782411,0,134171,{},[],{}
Dn014zuYJ8E,Now United - Wave Your Flag (Official Music Video),NOW UNITED,2021-07-14T15:00:11Z,"Now United Presents: Wave Your Flag Filmed in Abu Dhabi, UAE Directed by Alex G Choreography by Kyle Hanagami ...",[],UColnnUYyz7CWjhzpF1kASnw,44333861,698239,0,252676,{},[],{}
whopJ1e1g9A,Música das Vogais - Galinha Pintadinha 5 - OFICIAL,Galinha Pintadinha,2022-06-16T11:00:12Z,Spotify: https://open.spotify.com/artist/070CnHC2iZh5oLpyWYPf8h Amazon Music: https://amzn.to/GalinhaPintadinha Apple ...,[],UCBAb_DK4GYZqZR9MFA7y2Xg,299654701,364427,0,0,{},[],{}
UyFoeN53cWs,"Desacato, deixa queimar deixa queimar tutorial - Dancinha tik tok #shorts #tiktok",Arievilo Oliveira,2024-02-17T13:00:33Z,Link para você ter acesso e todas minhas Redes Sociais https://linktr.ee/arievilooliveira música de tik tok Tiktok 2023 tubarao te ...,[],UCMZQa7igaCdtAjJ2lOwKwPg,1512672,53115,0,527,{},[],{}
vuiAcTC8o88,Marcos &amp; Belutti - Domingo de manhã [CLIPE OFICIAL],Marcos e Belutti,2014-03-24T10:59:08Z,Nova música de trabalho do novo DVD Acústico da dupla Marcos & Belutti. Disponível também: iTunes: http://som.li/1o0wt2k ...,[],UC605s7hMHDSDaUx3txHckGQ,207839901,899489,0,24281,{},[],{}
