Data da Pesquisa,Video ID,Channel Title,Title,Published At,Tags,Thumbnails,Category ID,Duration,View Count,Like Count,Dislike Count,Comment Count
12/05/2024,UpTG9Suhs-w,Momentum,We Made Our Own Baseball Protective Gear!,2024-05-11T15:05:00Z,"baseball,momentum,strikeout,documentary,video,pitching,hitting,mlb,milb,the game,the show,commissioner,rob manfred,trevor bauer,mike clevinger,major leagues,watch momentum,pitcher,pitch,bauer bytes,live at bats,los angeles dodgers,dodgers,rachel luba,behind the scenes,day in the life,free agency,sports,inside the covid season,major league baseball,trevor bauer vlog,yasiel puig,trevor bauer mic'd up,vlog",https://i.ytimg.com/vi/UpTG9Suhs-w/default.jpg,17,PT39M1S,241262,6902,0,419
12/05/2024,4Ho4RJsIdvM,TBJZL,SPEED TRIES BRITISH SNACKS,2024-05-11T19:46:03Z,"TOBJIZZLE,Tobi,Jizzle,Tobjizzle,Tobijizzle,tbjzl,Toby,editingaming,xbox 360",https://i.ytimg.com/vi/4Ho4RJsIdvM/default.jpg,24,PT18M49S,668587,45487,0,927
12/05/2024,S_EgYvz-XII,rekrap2,No Armor Hardcore - Episode 3 - The Nether,2024-05-11T13:30:06Z,Minecraft,https://i.ytimg.com/vi/S_EgYvz-XII/default.jpg,20,PT22M58S,316758,19326,0,1287
12/05/2024,Cps2uyxo1eM,Nightcap,Shannon Sharpe reacts to Shaquille O'Neal calling Unc out for criticizing Jokic interview | Nightcap,2024-05-10T13:00:10Z,"Nightcap,Shannon Sharpe,Ochocinco,Chad Johnson,Chad Ochocinco,Club Shay Shay,Nightcap Podcast,Shannon Sharpe Podcast,Ochocinco Podcast,Gilbert Arenas,Gil Arenas,Gil Arenas Podcast,Gil Arenas Show",https://i.ytimg.com/vi/Cps2uyxo1eM/default.jpg,17,PT16M40S,807186,23218,0,8098
12/05/2024,X9G7Md8QI4k,JRE Clips,"Mike Tyson is ""Terrifying"" Ahead of Jake Paul Fight",2024-05-10T17:00:31Z,"Joe Rogan,JRE,Joe Rogan Experience,JRE Clips,PowerfulJRE,Joe Rogan Fan Page,Joe Rogan Podcast,podcast,MMA,Joe Rogan MMA Show,UFC,comedy,comedian,stand up,funny,clip,favorite,best of",https://i.ytimg.com/vi/X9G7Md8QI4k/default.jpg,22,PT14M27S,1951338,26549,0,5477
12/05/2024,7pMrssIrKcY,Gamers Nexus,ASUS Scammed Us,2024-05-11T00:49:24Z,"gamersnexus,gamers nexus,computer hardware,asus scam,asus warranty,asus rma,asus motherboard,asus motherboard warranty,asus,asus rog,asus rog ally,asus ally z1x,asus ally x,asus rog ally warranty,asus rog ally microsd card,asus ally sd card,asus ally thumbstick,asus ally joystick,asus ally joystick drifting,customer induced damage,warranty fraud,magnuson-moss act,louis rossmann",https://i.ytimg.com/vi/7pMrssIrKcY/default.jpg,20,PT29M36S,879469,67899,0,12058
12/05/2024,SQ1yPMTIwCU,JYP Entertainment,"Stray Kids ""Lose My Breath (Feat. Charlie Puth)"" M/V",2024-05-10T04:00:01Z,"JYP Entertainment,Stray Kids,스트레이 키즈,SKZ,스키즈,방찬,BANG CHAN,리노,LEE KNOW,창빈,서창빈,CHANGBIN,SEOCHANGBIN,현진,황현진,HYUNJIN,HWANGHYUNJIN,한,한지성,HAN,HANJISUNG,필릭스,FELIX,용복,이용복,승민,김승민,SEUNGMIN,KIMSEUNGMIN,아이엔,양정인,I.N,YANGJEONGIN,stray kids comeback,스트레이 키즈 컴백,스키즈 컴백,skz comeback,skz,lose my breath,stray kids lose my breath,skz lose my breath,stray kids charlie puth,skz charlie puth,스키즈 찰리푸스,skz mv,lose my breath mv,스키즈 뮤비,스트레이키즈 뮤비,스키즈 lose my breath 뮤비",https://i.ytimg.com/vi/SQ1yPMTIwCU/default.jpg,10,PT2M53S,14654552,1000461,0,118298
12/05/2024,K4QzrXhurN0,SMTOWN,aespa 에스파 'Supernova' MV Teaser,2024-05-11T15:00:15Z,"aespa,에스파,æspa,teaser,티저,mv,music video,뮤직비디오,카리나,지젤,윈터,닝닝,KARINA,GISELLE,WINTER,NINGNING,슈퍼노바,수퍼노바,아마겟돈,supernova,armageddon",https://i.ytimg.com/vi/K4QzrXhurN0/default.jpg,10,PT30S,1216570,141113,0,6160
12/05/2024,swVqSElGaHI,JJ Olatunji,I HAVE RETURNED!,2024-05-10T17:55:38Z,,https://i.ytimg.com/vi/swVqSElGaHI/default.jpg,24,PT17M42S,1371198,103446,0,4187
12/05/2024,AJZIwDbJxPA,DaFuq!?Boom!,skibidi toilet 73 (full episode),2024-05-10T00:30:08Z,"sfm animation,skibidi toilet vs cameramen,skibidi toilet,scientist skibidi,tv woman,titan cameraman,titan speakerman,skibidi toilet all episodes,titan tv man,g-toilet,gman toilet",https://i.ytimg.com/vi/AJZIwDbJxPA/default.jpg,24,PT9M41S,18992647,730899,0,57783
